PING 192.168.147.1 (192.168.147.1): 56 data bytes Request timeout for icmp_seq 0 --- 192.168.147.1 ping statistics --- 2 packets transmitted, 0 packets received, 100.0% packet loss
PING 192.168.148.1 (192.168.148.1): 56 data bytes Request timeout for icmp_seq 0 --- 192.168.148.1 ping statistics --- 2 packets transmitted, 0 packets received, 100.0% packet loss
PING 192.168.149.1 (192.168.149.1): 56 data bytes --- 192.168.149.1 ping statistics --- 1 packets transmitted, 0 packets received, 100.0% packet loss
PING 192.168.150.1 (192.168.150.1): 56 data bytes Request timeout for icmp_seq 0 --- 192.168.150.1 ping statistics --- 2 packets transmitted, 0 packets received, 100.0% packet loss
PING 192.168.151.1 (192.168.151.1): 56 data bytes Request timeout for icmp_seq 0 --- 192.168.151.1 ping statistics --- 2 packets transmitted, 0 packets received, 100.0% packet loss
PING 192.168.152.1 (192.168.152.1): 56 data bytes Request timeout for icmp_seq 0 --- 192.168.152.1 ping statistics --- 2 packets transmitted, 0 packets received, 100.0% packet loss
PING 192.168.153.1 (192.168.153.1): 56 data bytes Request timeout for icmp_seq 0 --- 192.168.153.1 ping statistics --- 2 packets transmitted, 0 packets received, 100.0% packet loss
PING 192.168.154.1 (192.168.154.1): 56 data bytes Request timeout for icmp_seq 0 --- 192.168.154.1 ping statistics --- 2 packets transmitted, 0 packets received, 100.0% packet loss
PING 192.168.155.1 (192.168.155.1): 56 data bytes Request timeout for icmp_seq 0 --- 192.168.155.1 ping statistics --- 2 packets transmitted, 0 packets received, 100.0% packet loss
PING 192.168.156.1 (192.168.156.1): 56 data bytes Request timeout for icmp_seq 0 --- 192.168.156.1 ping statistics --- 2 packets transmitted, 0 packets received, 100.0% packet loss
PING 192.168.157.1 (192.168.157.1): 56 data bytes Request timeout for icmp_seq 0 --- 192.168.157.1 ping statistics --- 2 packets transmitted, 0 packets received, 100.0% packet loss
PING 192.168.158.1 (192.168.158.1): 56 data bytes Request timeout for icmp_seq 0 --- 192.168.158.1 ping statistics --- 2 packets transmitted, 0 packets received, 100.0% packet loss
PING 192.168.159.1 (192.168.159.1): 56 data bytes Request timeout for icmp_seq 0 --- 192.168.159.1 ping statistics --- 2 packets transmitted, 0 packets received, 100.0% packet loss
PING 192.168.160.1 (192.168.160.1): 56 data bytes Request timeout for icmp_seq 0 --- 192.168.160.1 ping statistics --- 2 packets transmitted, 0 packets received, 100.0% packet loss
PING 192.168.161.1 (192.168.161.1): 56 data bytes Request timeout for icmp_seq 0 --- 192.168.161.1 ping statistics --- 2 packets transmitted, 0 packets received, 100.0% packet loss
PING 192.168.162.1 (192.168.162.1): 56 data bytes --- 192.168.162.1 ping statistics --- 1 packets transmitted, 0 packets received, 100.0% packet loss
